date,ventes_total,nb_clients,est_weekend
2024-01-01,102.48,8,False
2024-01-02,99.65,16,False
2024-01-03,103.93,14,False
2024-01-04,108.65,6,False
2024-01-05,100.21,14,False
2024-01-06,115.55,12,True
2024-01-07,124.96,15,True
2024-01-08,106.25,16,False
2024-01-09,100.41,17,False
2024-01-10,105.81,13,False
2024-01-11,101.12,17,False
2024-01-12,101.45,21,False
2024-01-13,120.32,23,True
2024-01-14,109.88,16,True
2024-01-15,96.16,22,False
2024-01-16,102.31,6,False
2024-01-17,100.39,13,False
2024-01-18,107.36,16,False
2024-01-19,101.57,19,False
2024-01-20,114.38,14,True
2024-01-21,129.1,20,True
2024-01-22,105.96,14,False
2024-01-23,107.75,24,False
2024-01-24,100.61,12,False
2024-01-25,105.33,16,False
2024-01-26,108.92,9,False
2024-01-27,117.92,15,True
2024-01-28,125.87,15,True
2024-01-29,106.29,16,False
2024-01-30,108.14,20,False
2024-01-31,106.89,10,False
2024-02-01,119.46,18,False
2024-02-02,110.43,17,False
2024-02-03,120.5,10,True
2024-02-04,130.19,13,True
2024-02-05,105.26,14,False
2024-02-06,112.69,21,False
2024-02-07,102.12,15,False
2024-02-08,105.56,14,False
2024-02-09,113.45,15,False
2024-02-10,131.43,15,True
2024-02-11,128.86,17,True
2024-02-12,112.68,8,False
2024-02-13,112.01,10,False
2024-02-14,106.38,10,False
2024-02-15,110.42,11,False
2024-02-16,111.96,21,False
2024-02-17,134.79,17,True
2024-02-18,131.46,11,True
2024-02-19,106.16,11,False
2024-02-20,116.82,11,False
2024-02-21,113.49,10,False
2024-02-22,112.25,11,False
2024-02-23,118.91,15,False
2024-02-24,136.21,16,True
2024-02-25,135.92,7,True
2024-02-26,112.26,11,False
2024-02-27,115.11,13,False
2024-02-28,118.5,16,False
2024-02-29,121.9,14,False
2024-03-01,114.81,15,False
2024-03-02,131.45,9,True
2024-03-03,127.01,15,True
2024-03-04,111.73,12,False
2024-03-05,121.93,11,False
2024-03-06,124.8,10,False
2024-03-07,117.81,16,False
2024-03-08,123.33,19,False
2024-03-09,135.25,9,True
2024-03-10,130.35,16,True
2024-03-11,120.51,14,False
2024-03-12,126.51,12,False
2024-03-13,118.75,17,False
2024-03-14,126.87,16,False
2024-03-15,106.05,9,False
2024-03-16,138.35,12,True
2024-03-17,134.77,11,True
2024-03-18,117.92,11,False
2024-03-19,119.96,8,False
2024-03-20,109.63,9,False
2024-03-21,118.54,19,False
2024-03-22,121.49,11,False
2024-03-23,142.15,22,True
2024-03-24,132.22,16,True
2024-03-25,115.81,18,False
2024-03-26,117.38,13,False
2024-03-27,124.5,15,False
2024-03-28,121.6,9,False
2024-03-29,117.32,12,False
2024-03-30,137.55,10,True
2024-03-31,135.48,15,True
2024-04-01,124.84,13,False
2024-04-02,116.49,13,False
2024-04-03,118.35,12,False
2024-04-04,118.01,18,False
2024-04-05,112.63,15,False
2024-04-06,136.41,13,True
2024-04-07,136.2,10,True
2024-04-08,119.88,23,False
2024-04-09,118.64,8,False
2024-04-10,112.68,16,False
2024-04-11,117.6,10,False
2024-04-12,117.93,11,False
2024-04-13,130.56,17,True
2024-04-14,133.69,13,True
2024-04-15,121.44,14,False
2024-04-16,128.76,14,False
2024-04-17,120.11,14,False
2024-04-18,120.43,18,False
2024-04-19,118.67,12,False
2024-04-20,124.34,14,True
2024-04-21,133.69,21,True
2024-04-22,119.0,16,False
2024-04-23,130.89,10,False
2024-04-24,117.48,16,False
2024-04-25,119.82,10,False
2024-04-26,117.99,12,False
2024-04-27,127.18,13,True
2024-04-28,138.58,10,True
2024-04-29,121.47,19,False
2024-04-30,121.5,12,False
2024-05-01,112.83,18,False
2024-05-02,124.22,17,False
2024-05-03,110.02,12,False
2024-05-04,134.78,16,True
2024-05-05,142.61,10,True
2024-05-06,111.51,15,False
2024-05-07,113.43,22,False
2024-05-08,116.56,17,False
2024-05-09,113.33,16,False
2024-05-10,107.88,14,False
2024-05-11,130.76,22,True
2024-05-12,124.89,14,True
2024-05-13,117.34,20,False
2024-05-14,110.14,16,False
2024-05-15,122.25,7,False
2024-05-16,110.35,19,False
2024-05-17,112.41,13,False
2024-05-18,132.84,15,True
2024-05-19,122.36,13,True
2024-05-20,114.4,18,False
2024-05-21,119.54,11,False
2024-05-22,104.7,10,False
